"","Confirmed_Date","n"
"1",2020-01-24,3
"2",2020-01-25,1
"3",2020-01-28,3
"4",2020-01-30,1
"5",2020-02-03,1
"6",2020-02-04,1
"7",2020-02-05,2
"8",2020-02-06,2
"9",2020-02-07,1
"10",2020-02-08,1
"11",2020-02-09,1
"12",2020-02-10,1
"13",2020-02-13,1
"14",2020-02-14,2
"15",2020-02-15,1
"16",2020-02-27,2
"17",2020-02-28,3
"18",2020-02-29,2
"19",2020-03-02,6
"20",2020-03-03,4
"21",2020-03-04,17
"22",2020-03-05,3
"23",2020-03-06,26
"24",2020-03-07,8
"25",2020-03-08,7
"26",2020-03-09,17
"27",2020-03-10,12
"28",2020-03-11,20
"29",2020-03-12,9
"30",2020-03-13,42
"31",2020-03-14,40
"32",2020-03-15,188
"33",2020-03-16,125
"34",2020-03-17,120
