Confirmed_Date,Day,Infected
24/01/2020,1,3
25/01/2020,2,1
26/01/2020,3,0
27/01/2020,4,0
28/01/2020,5,3
29/01/2020,6,0
30/01/2020,7,1
31/01/2020,8,0
01/02/2020,9,0
02/02/2020,10,0
03/02/2020,11,1
04/02/2020,12,1
05/02/2020,13,2
06/02/2020,14,2
07/02/2020,15,1
08/02/2020,16,1
09/02/2020,17,1
10/02/2020,18,1
11/02/2020,19,0
12/02/2020,20,0
13/02/2020,21,1
14/02/2020,22,2
15/02/2020,23,1
16/02/2020,24,0
17/02/2020,25,0
18/02/2020,26,0
19/02/2020,27,0
20/02/2020,28,0
21/02/2020,29,0
22/02/2020,30,0
23/02/2020,31,0
24/02/2020,32,0
25/02/2020,33,0
26/02/2020,34,0
27/02/2020,35,2
28/02/2020,36,3
29/02/2020,37,2
01/03/2020,38,0
02/03/2020,39,6
03/03/2020,40,4
04/03/2020,41,17
05/03/2020,42,3
06/03/2020,43,26
07/03/2020,44,8
08/03/2020,45,7
09/03/2020,46,17
10/03/2020,47,12
11/03/2020,48,20
12/03/2020,49,9
13/03/2020,50,42
14/03/2020,51,40
15/03/2020,52,188
16/03/2020,53,125
17/03/2020,54,120
