Confirmed_date,Nationality,State,New_Case,Total_Case
24/01/2020,China,Selangor,3,3
25/01/2020,China,Johor,1,4
28/01/2020,China,Selangor,1,5
28/01/2020,China,Kedah,1,6
28/01/2020,China,Johor,1,7
30/01/2020,China,Johor,1,8
03/02/2020,China,WPKL,1,9
04/02/2020,Malaysia,Selangor,1,10
05/02/2020,Malaysia,NSembilan,2,12
06/02/2020,Malaysia,Kedah,1,13
06/02/2020,China,WPKL,1,14
07/02/2020,China,Johor,1,15
08/02/2020,China,WPKL,1,16
09/02/2020,Malaysia,Selangor,1,17
10/02/2020,Malaysia,Selangor,1,18
13/02/2020,China,WPKL,1,19
14/02/2020,China,Kedah,2,21
15/02/2020,USA,Selangor,1,22
27/02/2020,Malaysia,WPKL,1,23
27/02/2020,Japan,WPKL,1,24
28/02/2020,Italy,Selangor,1,25
28/02/2020,Malaysia,WPKL,1,26
28/02/2020,Malaysia,Selangor,1,27
29/02/2020,Malaysia,Selangor,2,29
02/03/2020,Malaysia,Selangor,5,34
02/03/2020,Malaysia,WPKL,1,35
03/03/2020,Malaysia,Selangor,4,39
